Cache: il1
Miss Rate:
Size(KB) Applu Art Gzip Mesa Twolf
0 0.0000 0.0000 0.0000 0.0153 0.0122
1 0.0000 0.0000 0.0000 0.0029 0.0048
2 0.0000 0.0000 0.0000 0.0020 0.0007
3 0.0000 0.0000 0.0000 0.0000 0.0002
4 0.0000 0.0000 0.0000 0.0000 0.0001
5 0.0000 0.0000 0.0000 0.0000 0.0000
6 0.0000 0.0000 0.0000 0.0000 0.0000
7 0.0000 0.0000 0.0000 0.0000 0.0000
IPC:
Size(KB) Applu Art Gzip Mesa Twolf
0 1.3746 0.5310 2.0000 1.9609 2.0742
1 1.3746 0.5310 2.0000 2.2300 2.2568
2 1.3746 0.5310 2.0000 2.2450 2.3572
3 1.3746 0.5310 2.0000 2.2809 2.3715
4 1.3746 0.5310 2.0000 2.2809 2.3741
5 1.3746 0.5310 2.0000 2.2809 2.3778
6 1.3746 0.5310 2.0000 2.2809 2.3788
7 1.3746 0.5310 2.0000 2.2809 2.3790
